Name,URL,State,District,Party,Terms
"Senator Hoeven, John",https://www.congress.gov/member/john-hoeven/H001061,"North Dakota",,Republican,"Senate: 2011-Present"
"Representative Holding, George",https://www.congress.gov/member/george-holding/H001065,"North Carolina",2,Republican,"House: 2013-Present"
"Representative Honda, Michael M.",https://www.congress.gov/member/michael-honda/H001034,California,17,Democratic,"House: 2001-2017"
"Representative Hoyer, Steny H.",https://www.congress.gov/member/steny-hoyer/H000874,Maryland,5,Democratic,"House: 1981-Present"
"Representative Hudson, Richard",https://www.congress.gov/member/richard-hudson/H001067,"North Carolina",8,Republican,"House: 2013-Present"
"Representative Huelskamp, Tim",https://www.congress.gov/member/tim-huelskamp/H001057,Kansas,1,Republican,"House: 2011-2017"
"Representative Huffman, Jared",https://www.congress.gov/member/jared-huffman/H001068,California,2,Democratic,"House: 2013-Present"
"Representative Huizenga, Bill",https://www.congress.gov/member/bill-huizenga/H001058,Michigan,2,Republican,"House: 2011-Present"
"Representative Hultgren, Randy",https://www.congress.gov/member/randy-hultgren/H001059,Illinois,14,Republican,"House: 2011-2019"
"Representative Hunter, Duncan D.",https://www.congress.gov/member/duncan-hunter/H001048,California,50,Republican,"House: 2009-Present"
"Representative Hurd, Will",https://www.congress.gov/member/will-hurd/H001073,Texas,23,Republican,"House: 2015-Present"
"Representative Hurt, Robert",https://www.congress.gov/member/robert-hurt/H001060,Virginia,5,Republican,"House: 2011-2017"
"Senator Inhofe, James M.",https://www.congress.gov/member/jim-inhofe/I000024,Oklahoma,,Republican,"Senate: 1994-Present | House: 1987-1995"
"Senator Isakson, Johnny",https://www.congress.gov/member/johnny-isakson/I000055,Georgia,,Republican,"Senate: 2005-Present | House: 1999-2005"
"Representative Israel, Steve",https://www.congress.gov/member/steve-israel/I000057,"New York",3,Democratic,"House: 2001-2017"
"Representative Issa, Darrell E.",https://www.congress.gov/member/darrell-issa/I000056,California,49,Republican,"House: 2001-2019"
"Representative Jackson Lee, Sheila",https://www.congress.gov/member/sheila-jackson-lee/J000032,Texas,18,Democratic,"House: 1995-Present"
"Representative Jeffries, Hakeem S.",https://www.congress.gov/member/hakeem-jeffries/J000294,"New York",8,Democratic,"House: 2013-Present"
"Representative Jenkins, Evan H.",https://www.congress.gov/member/evan-jenkins/J000297,"West Virginia",3,Republican,"House: 2015-2018"
"Representative Jenkins, Lynn",https://www.congress.gov/member/lynn-jenkins/J000290,Kansas,2,Republican,"House: 2009-2019"
"Representative Johnson, Bill",https://www.congress.gov/member/bill-johnson/J000292,Ohio,6,Republican,"House: 2011-Present"
"Representative Johnson, Eddie Bernice",https://www.congress.gov/member/eddie-johnson/J000126,Texas,30,Democratic,"House: 1993-Present"
"Representative Johnson, Henry C. ""Hank,"" Jr.",https://www.congress.gov/member/henry-johnson/J000288,Georgia,4,Democratic,"House: 2007-Present"
"Senator Johnson, Ron",https://www.congress.gov/member/ron-johnson/J000293,Wisconsin,,Republican,"Senate: 2011-Present"
"Representative Johnson, Sam",https://www.congress.gov/member/sam-johnson/J000174,Texas,3,Republican,"House: 1991-2019"
"Representative Jolly, David W.",https://www.congress.gov/member/david-jolly/J000296,Florida,13,Republican,"House: 2014-2017"
"Representative Jones, Walter B., Jr.",https://www.congress.gov/member/walter-jones/J000255,"North Carolina",3,Republican,"House: 1995-2019"
"Representative Jordan, Jim",https://www.congress.gov/member/jim-jordan/J000289,Ohio,4,Republican,"House: 2007-Present"
"Representative Joyce, David P.",https://www.congress.gov/member/david-joyce/J000295,Ohio,14,Republican,"House: 2013-Present"
"Senator Kaine, Tim",https://www.congress.gov/member/timothy-kaine/K000384,Virginia,,Democratic,"Senate: 2013-Present"
"Representative Kaptur, Marcy",https://www.congress.gov/member/marcy-kaptur/K000009,Ohio,9,Democratic,"House: 1983-Present"
"Representative Katko, John",https://www.congress.gov/member/john-katko/K000386,"New York",24,Republican,"House: 2015-Present"
"Representative Keating, William R.",https://www.congress.gov/member/william-keating/K000375,Massachusetts,9,Democratic,"House: 2011-Present"
"Representative Kelly, Mike",https://www.congress.gov/member/mike-kelly/K000376,Pennsylvania,16,Republican,"House: 2011-Present"
"Representative Kelly, Robin L.",https://www.congress.gov/member/robin-kelly/K000385,Illinois,2,Democratic,"House: 2013-Present"
"Representative Kelly, Trent",https://www.congress.gov/member/trent-kelly/K000388,Mississippi,1,Republican,"House: 2015-Present"
"Representative Kennedy, Joseph P., III",https://www.congress.gov/member/joseph-kennedy/K000379,Massachusetts,4,Democratic,"House: 2013-Present"
"Representative Kildee, Daniel T.",https://www.congress.gov/member/daniel-kildee/K000380,Michigan,5,Democratic,"House: 2013-Present"
"Representative Kilmer, Derek",https://www.congress.gov/member/derek-kilmer/K000381,Washington,6,Democratic,"House: 2013-Present"
"Representative Kind, Ron",https://www.congress.gov/member/ron-kind/K000188,Wisconsin,3,Democratic,"House: 1997-Present"
"Senator King, Angus S., Jr.",https://www.congress.gov/member/angus-king/K000383,Maine,,Independent,"Senate: 2013-Present"
"Representative King, Peter T.",https://www.congress.gov/member/peter-king/K000210,"New York",2,Republican,"House: 1993-Present"
"Representative King, Steve",https://www.congress.gov/member/steve-king/K000362,Iowa,4,Republican,"House: 2003-Present"
"Representative Kinzinger, Adam",https://www.congress.gov/member/adam-kinzinger/K000378,Illinois,16,Republican,"House: 2011-Present"
"Senator Kirk, Mark Steven",https://www.congress.gov/member/mark-kirk/K000360,Illinois,,Republican,"Senate: 2010-2017 | House: 2001-2010"
"Representative Kirkpatrick, Ann",https://www.congress.gov/member/ann-kirkpatrick/K000368,Arizona,2,Democratic,"House: 2009-2011, 2013-2017, 2019-Present"
"Representative Kline, John",https://www.congress.gov/member/john-kline/K000363,Minnesota,2,Republican,"House: 2003-2017"
"Senator Klobuchar, Amy",https://www.congress.gov/member/amy-klobuchar/K000367,Minnesota,,Democratic,"Senate: 2007-Present"
"Representative Knight, Stephen",https://www.congress.gov/member/stephen-knight/K000387,California,25,Republican,"House: 2015-2019"
"Representative Kuster, Ann M.",https://www.congress.gov/member/ann-kuster/K000382,"New Hampshire",2,Democratic,"House: 2013-Present"
"Representative Labrador, Raul R.",https://www.congress.gov/member/raul-labrador/L000573,Idaho,1,Republican,"House: 2011-2019"
"Representative LaHood, Darin",https://www.congress.gov/member/darin-lahood/L000585,Illinois,18,Republican,"House: 2015-Present"
"Representative LaMalfa, Doug",https://www.congress.gov/member/doug-lamalfa/L000578,California,1,Republican,"House: 2013-Present"
"Representative Lamborn, Doug",https://www.congress.gov/member/doug-lamborn/L000564,Colorado,5,Republican,"House: 2007-Present"
"Representative Lance, Leonard",https://www.congress.gov/member/leonard-lance/L000567,"New Jersey",7,Republican,"House: 2009-2019"
"Representative Langevin, James R.",https://www.congress.gov/member/james-langevin/L000559,"Rhode Island",2,Democratic,"House: 2001-Present"
"Senator Lankford, James",https://www.congress.gov/member/james-lankford/L000575,Oklahoma,,Republican,"Senate: 2015-Present | House: 2011-2015"
"Representative Larsen, Rick",https://www.congress.gov/member/rick-larsen/L000560,Washington,2,Democratic,"House: 2001-Present"
"Representative Larson, John B.",https://www.congress.gov/member/john-larson/L000557,Connecticut,1,Democratic,"House: 1999-Present"
"Representative Latta, Robert E.",https://www.congress.gov/member/robert-latta/L000566,Ohio,5,Republican,"House: 2007-Present"
"Representative Lawrence, Brenda L.",https://www.congress.gov/member/brenda-lawrence/L000581,Michigan,14,Democratic,"House: 2015-Present"
"Senator Leahy, Patrick J.",https://www.congress.gov/member/patrick-leahy/L000174,Vermont,,Democratic,"Senate: 1975-Present"
"Representative Lee, Barbara",https://www.congress.gov/member/barbara-lee/L000551,California,13,Democratic,"House: 1997-Present"
"Senator Lee, Mike",https://www.congress.gov/member/mike-lee/L000577,Utah,,Republican,"Senate: 2011-Present"
"Representative Levin, Sander M.",https://www.congress.gov/member/sander-levin/L000263,Michigan,9,Democratic,"House: 1983-2019"
"Representative Lewis, John",https://www.congress.gov/member/john-lewis/L000287,Georgia,5,Democratic,"House: 1987-Present"
"Representative Lieu, Ted",https://www.congress.gov/member/ted-lieu/L000582,California,33,Democratic,"House: 2015-Present"
"Representative Lipinski, Daniel",https://www.congress.gov/member/daniel-lipinski/L000563,Illinois,3,Democratic,"House: 2005-Present"
"Representative LoBiondo, Frank A.",https://www.congress.gov/member/frank-lobiondo/L000554,"New Jersey",2,Republican,"House: 1995-2019"
"Representative Loebsack, David",https://www.congress.gov/member/david-loebsack/L000565,Iowa,2,Democratic,"House: 2007-Present"
"Representative Lofgren, Zoe",https://www.congress.gov/member/zoe-lofgren/L000397,California,19,Democratic,"House: 1995-Present"
"Representative Long, Billy",https://www.congress.gov/member/billy-long/L000576,Missouri,7,Republican,"House: 2011-Present"
"Representative Loudermilk, Barry",https://www.congress.gov/member/barry-loudermilk/L000583,Georgia,11,Republican,"House: 2015-Present"
"Representative Love, Mia B.",https://www.congress.gov/member/mia-love/L000584,Utah,4,Republican,"House: 2015-2019"
"Representative Lowenthal, Alan S.",https://www.congress.gov/member/alan-lowenthal/L000579,California,47,Democratic,"House: 2013-Present"
"Representative Lowey, Nita M.",https://www.congress.gov/member/nita-lowey/L000480,"New York",17,Democratic,"House: 1989-Present"
"Representative Lucas, Frank D.",https://www.congress.gov/member/frank-lucas/L000491,Oklahoma,3,Republican,"House: 1993-Present"
"Representative Luetkemeyer, Blaine",https://www.congress.gov/member/blaine-luetkemeyer/L000569,Missouri,3,Republican,"House: 2009-Present"
"Representative Lujan Grisham, Michelle",https://www.congress.gov/member/michelle-lujan-grisham/L000580,"New Mexico",1,Democratic,"House: 2013-2019"
"Representative Lujan, Ben Ray",https://www.congress.gov/member/ben-lujan/L000570,"New Mexico",3,Democratic,"House: 2009-Present"
"Representative Lummis, Cynthia M.",https://www.congress.gov/member/cynthia-lummis/L000571,Wyoming,,Republican,"House: 2009-2017"
"Representative Lynch, Stephen F.",https://www.congress.gov/member/stephen-lynch/L000562,Massachusetts,8,Democratic,"House: 2001-Present"
"Representative MacArthur, Thomas",https://www.congress.gov/member/thomas-macarthur/M001193,"New Jersey",3,Republican,"House: 2015-2019"
"Representative Maloney, Carolyn B.",https://www.congress.gov/member/carolyn-maloney/M000087,"New York",12,Democratic,"House: 1993-Present"
"Representative Maloney, Sean Patrick",https://www.congress.gov/member/sean-maloney/M001185,"New York",18,Democratic,"House: 2013-Present"
"Senator Manchin, Joe, III",https://www.congress.gov/member/joe-manchin/M001183,"West Virginia",,Democratic,"Senate: 2010-Present"
"Representative Marchant, Kenny",https://www.congress.gov/member/kenny-marchant/M001158,Texas,24,Republican,"House: 2005-Present"
"Representative Marino, Tom",https://www.congress.gov/member/tom-marino/M001179,Pennsylvania,12,Republican,"House: 2011-2019"
"Senator Markey, Edward J.",https://www.congress.gov/member/edward-markey/M000133,Massachusetts,,Democratic,"Senate: 2013-Present | House: 1977-2013"
"Representative Massie, Thomas",https://www.congress.gov/member/thomas-massie/M001184,Kentucky,4,Republican,"House: 2012-Present"
"Representative Matsui, Doris O.",https://www.congress.gov/member/doris-matsui/M001163,California,6,Democratic,"House: 2005-Present"
"Senator McCain, John",https://www.congress.gov/member/john-mccain/M000303,Arizona,,Republican,"Senate: 1987-2018 | House: 1983-1987"
"Representative McCarthy, Kevin",https://www.congress.gov/member/kevin-mccarthy/M001165,California,23,Republican,"House: 2007-Present"
"Senator McCaskill, Claire",https://www.congress.gov/member/claire-mccaskill/M001170,Missouri,,Democratic,"Senate: 2007-2019"
"Representative McCaul, Michael T.",https://www.congress.gov/member/michael-mccaul/M001157,Texas,10,Republican,"House: 2005-Present"
"Representative McClintock, Tom",https://www.congress.gov/member/tom-mcclintock/M001177,California,4,Republican,"House: 2009-Present"
"Representative McCollum, Betty",https://www.congress.gov/member/betty-mccollum/M001143,Minnesota,4,Democratic,"House: 2001-Present"
"Senator McConnell, Mitch",https://www.congress.gov/member/mitch-mcconnell/M000355,Kentucky,,Republican,"Senate: 1985-Present"
"Representative McDermott, Jim",https://www.congress.gov/member/jim-mcdermott/M000404,Washington,7,Democratic,"House: 1989-2017"
"Representative McGovern, James P.",https://www.congress.gov/member/james-mcgovern/M000312,Massachusetts,2,Democratic,"House: 1997-Present"
"Representative McHenry, Patrick T.",https://www.congress.gov/member/patrick-mchenry/M001156,"North Carolina",10,Republican,"House: 2005-Present"
"Representative McKinley, David B.",https://www.congress.gov/member/david-mckinley/M001180,"West Virginia",1,Republican,"House: 2011-Present"
"Representative McMorris Rodgers, Cathy",https://www.congress.gov/member/cathy-rodgers/M001159,Washington,5,Republican,"House: 2005-Present"
"Representative McNerney, Jerry",https://www.congress.gov/member/jerry-mcnerney/M001166,California,9,Democratic,"House: 2007-Present"
"Senator McSally, Martha",https://www.congress.gov/member/martha-mcsally/M001197,Arizona,,Republican,"Senate: 2019-Present | House: 2015-2019"
"Representative Meadows, Mark",https://www.congress.gov/member/mark-meadows/M001187,"North Carolina",11,Republican,"House: 2013-Present"
"Representative Meehan, Patrick",https://www.congress.gov/member/patrick-meehan/M001181,Pennsylvania,7,Republican,"House: 2011-2018"
"Representative Meeks, Gregory W.",https://www.congress.gov/member/gregory-meeks/M001137,"New York",5,Democratic,"House: 1997-Present"
"Senator Menendez, Robert",https://www.congress.gov/member/robert-menendez/M000639,"New Jersey",,Democratic,"Senate: 2006-Present | House: 1993-2006"
"Representative Meng, Grace",https://www.congress.gov/member/grace-meng/M001188,"New York",6,Democratic,"House: 2013-Present"
"Senator Merkley, Jeff",https://www.congress.gov/member/jeff-merkley/M001176,Oregon,,Democratic,"Senate: 2009-Present"
"Representative Messer, Luke",https://www.congress.gov/member/luke-messer/M001189,Indiana,6,Republican,"House: 2013-2019"
"Representative Mica, John L.",https://www.congress.gov/member/john-mica/M000689,Florida,7,Republican,"House: 1993-2017"
"Senator Mikulski, Barbara A.",https://www.congress.gov/member/barbara-mikulski/M000702,Maryland,,Democratic,"Senate: 1987-2017 | House: 1977-1987"
"Representative Miller, Candice S.",https://www.congress.gov/member/candice-miller/M001150,Michigan,10,Republican,"House: 2003-2017"
"Representative Miller, Jeff",https://www.congress.gov/member/jeff-miller/M001144,Florida,1,Republican,"House: 2001-2017"
"Representative Moolenaar, John R.",https://www.congress.gov/member/john-moolenaar/M001194,Michigan,4,Republican,"House: 2015-Present"
"Representative Mooney, Alexander X.",https://www.congress.gov/member/alexander-mooney/M001195,"West Virginia",2,Republican,"House: 2015-Present"
"Representative Moore, Gwen",https://www.congress.gov/member/gwen-moore/M001160,Wisconsin,4,Democratic,"House: 2005-Present"
"Senator Moran, Jerry",https://www.congress.gov/member/jerry-moran/M000934,Kansas,,Republican,"Senate: 2011-Present | House: 1997-2011"
"Representative Moulton, Seth",https://www.congress.gov/member/seth-moulton/M001196,Massachusetts,6,Democratic,"House: 2015-Present"
"Representative Mullin, Markwayne",https://www.congress.gov/member/markwayne-mullin/M001190,Oklahoma,2,Republican,"House: 2013-Present"
"Representative Mulvaney, Mick",https://www.congress.gov/member/mick-mulvaney/M001182,"South Carolina",5,Republican,"House: 2011-2017"
"Senator Murkowski, Lisa",https://www.congress.gov/member/lisa-murkowski/M001153,Alaska,,Republican,"Senate: 2003-Present"
"Senator Murphy, Christopher",https://www.congress.gov/member/christopher-murphy/M001169,Connecticut,,Democratic,"Senate: 2013-Present | House: 2007-2013"
"Representative Murphy, Patrick",https://www.congress.gov/member/patrick-murphy/M001191,Florida,18,Democratic,"House: 2013-2017"
"Representative Murphy, Tim",https://www.congress.gov/member/tim-murphy/M001151,Pennsylvania,18,Republican,"House: 2003-2017"
"Senator Murray, Patty",https://www.congress.gov/member/patty-murray/M001111,Washington,,Democratic,"Senate: 1993-Present"
"Representative Nadler, Jerrold",https://www.congress.gov/member/jerrold-nadler/N000002,"New York",10,Democratic,"House: 1991-Present"
"Representative Napolitano, Grace F.",https://www.congress.gov/member/grace-napolitano/N000179,California,32,Democratic,"House: 1999-Present"
"Representative Neal, Richard E.",https://www.congress.gov/member/richard-neal/N000015,Massachusetts,1,Democratic,"House: 1989-Present"
"Senator Nelson, Bill",https://www.congress.gov/member/clarence-nelson/N000032,Florida,,Democratic,"Senate: 2001-2019 | House: 1979-1991"
"Representative Neugebauer, Randy",https://www.congress.gov/member/randy-neugebauer/N000182,Texas,19,Republican,"House: 2003-2017"
"Representative Newhouse, Dan",https://www.congress.gov/member/dan-newhouse/N000189,Washington,4,Republican,"House: 2015-Present"
"Representative Noem, Kristi L.",https://www.congress.gov/member/kristi-noem/N000184,"South Dakota",,Republican,"House: 2011-2019"
"Representative Nolan, Richard M.",https://www.congress.gov/member/richard-nolan/N000127,Minnesota,8,Democratic,"House: 1975-1981, 2013-2019"
"Representative Norcross, Donald",https://www.congress.gov/member/donald-norcross/N000188,"New Jersey",1,Democratic,"House: 2014-Present"
"Representative Norton, Eleanor Holmes",https://www.congress.gov/member/eleanor-norton/N000147,"District of Columbia",,Democratic,"House: 1991-Present"
"Representative Nugent, Richard B.",https://www.congress.gov/member/richard-nugent/N000185,Florida,11,Republican,"House: 2011-2017"
"Representative Nunes, Devin",https://www.congress.gov/member/devin-nunes/N000181,California,22,Republican,"House: 2003-Present"
"Representative Nunnelee, Alan",https://www.congress.gov/member/alan-nunnelee/N000186,Mississippi,1,Republican,"House: 2011-2015"
"Representative O'Rourke, Beto",https://www.congress.gov/member/beto-o-rourke/O000170,Texas,16,Democratic,"House: 2013-2019"
"Representative Olson, Pete",https://www.congress.gov/member/pete-olson/O000168,Texas,22,Republican,"House: 2009-Present"
"Representative Palazzo, Steven M.",https://www.congress.gov/member/steven-palazzo/P000601,Mississippi,4,Republican,"House: 2011-Present"
"Representative Pallone, Frank, Jr.",https://www.congress.gov/member/frank-pallone/P000034,"New Jersey",6,Democratic,"House: 1987-Present"
"Representative Palmer, Gary J.",https://www.congress.gov/member/gary-palmer/P000609,Alabama,6,Republican,"House: 2015-Present"
"Representative Pascrell, Bill, Jr.",https://www.congress.gov/member/william-pascrell/P000096,"New Jersey",9,Democratic,"House: 1997-Present"
"Senator Paul, Rand",https://www.congress.gov/member/rand-paul/P000603,Kentucky,,Republican,"Senate: 2011-Present"
"Representative Paulsen, Erik",https://www.congress.gov/member/erik-paulsen/P000594,Minnesota,3,Republican,"House: 2009-2019"
"Representative Payne, Donald M., Jr.",https://www.congress.gov/member/donald-payne/P000604,"New Jersey",10,Democratic,"House: 2012-Present"
"Representative Pearce, Stevan",https://www.congress.gov/member/stevan-pearce/P000588,"New Mexico",2,Republican,"House: 2003-2009, 2011-2019"
"Representative Pelosi, Nancy",https://www.congress.gov/member/nancy-pelosi/P000197,California,12,Democratic,"House: 1987-Present"
"Senator Perdue, David",https://www.congress.gov/member/david-perdue/P000612,Georgia,,Republican,"Senate: 2015-Present"
"Representative Perlmutter, Ed",https://www.congress.gov/member/ed-perlmutter/P000593,Colorado,7,Democratic,"House: 2007-Present"
"Representative Perry, Scott",https://www.congress.gov/member/scott-perry/P000605,Pennsylvania,10,Republican,"House: 2013-Present"
"Senator Peters, Gary C.",https://www.congress.gov/member/gary-peters/P000595,Michigan,,Democratic,"Senate: 2015-Present | House: 2009-2015"
"Representative Peters, Scott H.",https://www.congress.gov/member/scott-peters/P000608,California,52,Democratic,"House: 2013-Present"
"Representative Peterson, Collin C.",https://www.congress.gov/member/collin-peterson/P000258,Minnesota,7,Democratic,"House: 1991-Present"
"Representative Pierluisi, Pedro R.",https://www.congress.gov/member/pedro-pierluisi/P000596,"Puerto Rico",,Democratic,"House: 2009-2017"
"Representative Pingree, Chellie",https://www.congress.gov/member/chellie-pingree/P000597,Maine,1,Democratic,"House: 2009-Present"
"Representative Pittenger, Robert",https://www.congress.gov/member/robert-pittenger/P000606,"North Carolina",9,Republican,"House: 2013-2019"
"Representative Pitts, Joseph R.",https://www.congress.gov/member/joseph-pitts/P000373,Pennsylvania,16,Republican,"House: 1997-2017"
"Representative Plaskett, Stacey E.",https://www.congress.gov/member/stacey-plaskett/P000610,"Virgin Islands",,Democratic,"House: 2015-Present"
"Representative Pocan, Mark",https://www.congress.gov/member/mark-pocan/P000607,Wisconsin,2,Democratic,"House: 2013-Present"
"Representative Poe, Ted",https://www.congress.gov/member/ted-poe/P000592,Texas,2,Republican,"House: 2005-2019"
"Representative Poliquin, Bruce",https://www.congress.gov/member/bruce-poliquin/P000611,Maine,2,Republican,"House: 2015-2019"
"Representative Polis, Jared",https://www.congress.gov/member/jared-polis/P000598,Colorado,2,Democratic,"House: 2009-2019"
"Representative Pompeo, Mike",https://www.congress.gov/member/mike-pompeo/P000602,Kansas,4,Republican,"House: 2011-2017"
"Senator Portman, Rob",https://www.congress.gov/member/rob-portman/P000449,Ohio,,Republican,"Senate: 2011-Present | House: 1993-2007"
"Representative Posey, Bill",https://www.congress.gov/member/bill-posey/P000599,Florida,8,Republican,"House: 2009-Present"
"Representative Price, David E.",https://www.congress.gov/member/david-price/P000523,"North Carolina",4,Democratic,"House: 1987-1995, 1997-Present"
"Representative Price, Tom",https://www.congress.gov/member/tom-price/P000591,Georgia,6,Republican,"House: 2005-2017"
"Representative Quigley, Mike",https://www.congress.gov/member/mike-quigley/Q000023,Illinois,5,Democratic,"House: 2009-Present"
"Representative Radewagen, Aumua Amata Coleman",https://www.congress.gov/member/aumua-amata-radewagen/R000600,"American Samoa",,Republican,"House: 2015-Present"
"Representative Rangel, Charles B.",https://www.congress.gov/member/charles-rangel/R000053,"New York",13,Democratic,"House: 1971-2017"
"Representative Ratcliffe, John",https://www.congress.gov/member/john-ratcliffe/R000601,Texas,4,Republican,"House: 2015-Present"
"Senator Reed, Jack",https://www.congress.gov/member/john-reed/R000122,"Rhode Island",,Democratic,"Senate: 1997-Present | House: 1991-1997"
"Representative Reed, Tom",https://www.congress.gov/member/tom-reed/R000585,"New York",23,Republican,"House: 2010-Present"
"Representative Reichert, David G.",https://www.congress.gov/member/david-reichert/R000578,Washington,8,Republican,"House: 2005-2019"
"Senator Reid, Harry",https://www.congress.gov/member/harry-reid/R000146,Nevada,,Democratic,"Senate: 1987-2017 | House: 1983-1987"
"Representative Renacci, James B.",https://www.congress.gov/member/james-renacci/R000586,Ohio,16,Republican,"House: 2011-2019"
"Representative Ribble, Reid J.",https://www.congress.gov/member/reid-ribble/R000587,Wisconsin,8,Republican,"House: 2011-2017"
"Representative Rice, Kathleen M.",https://www.congress.gov/member/kathleen-rice/R000602,"New York",4,Democratic,"House: 2015-Present"
"Representative Rice, Tom",https://www.congress.gov/member/tom-rice/R000597,"South Carolina",7,Republican,"House: 2013-Present"
"Representative Richmond, Cedric L.",https://www.congress.gov/member/cedric-richmond/R000588,Louisiana,2,Democratic,"House: 2011-Present"
"Representative Rigell, E. Scott",https://www.congress.gov/member/e-rigell/R000589,Virginia,2,Republican,"House: 2011-2017"
"Senator Risch, James E.",https://www.congress.gov/member/james-risch/R000584,Idaho,,Republican,"Senate: 2009-Present"
"Senator Roberts, Pat",https://www.congress.gov/member/pat-roberts/R000307,Kansas,,Republican,"Senate: 1997-Present | House: 1981-1997"
"Representative Roby, Martha",https://www.congress.gov/member/martha-roby/R000591,Alabama,2,Republican,"House: 2011-Present"
"Representative Roe, David P.",https://www.congress.gov/member/david-roe/R000582,Tennessee,1,Republican,"House: 2009-Present"
"Representative Rogers, Harold",https://www.congress.gov/member/harold-rogers/R000395,Kentucky,5,Republican,"House: 1981-Present"
"Representative Rogers, Mike D.",https://www.congress.gov/member/mike-rogers/R000575,Alabama,3,Republican,"House: 2003-Present"
"Representative Rohrabacher, Dana",https://www.congress.gov/member/dana-rohrabacher/R000409,California,48,Republican,"House: 1989-2019"
"Representative Rokita, Todd",https://www.congress.gov/member/todd-rokita/R000592,Indiana,4,Republican,"House: 2011-2019"
"Representative Rooney, Thomas J.",https://www.congress.gov/member/thomas-rooney/R000583,Florida,17,Republican,"House: 2009-2019"
"Representative Ros-Lehtinen, Ileana",https://www.congress.gov/member/ileana-ros-lehtinen/R000435,Florida,27,Republican,"House: 1989-2019"
"Representative Roskam, Peter J.",https://www.congress.gov/member/peter-roskam/R000580,Illinois,6,Republican,"House: 2007-2019"
"Representative Ross, Dennis A.",https://www.congress.gov/member/dennis-ross/R000593,Florida,15,Republican,"House: 2011-2019"
"Representative Rothfus, Keith J.",https://www.congress.gov/member/keith-rothfus/R000598,Pennsylvania,12,Republican,"House: 2013-2019"
"Senator Rounds, Mike ",https://www.congress.gov/member/mike-rounds/R000605,"South Dakota",,Republican,"Senate: 2015-Present"
"Representative Rouzer, David",https://www.congress.gov/member/david-rouzer/R000603,"North Carolina",7,Republican,"House: 2015-Present"
"Representative Roybal-Allard, Lucille",https://www.congress.gov/member/lucille-roybal-allard/R000486,California,40,Democratic,"House: 1993-Present"
"Representative Royce, Edward R.",https://www.congress.gov/member/ed-royce/R000487,California,39,Republican,"House: 1993-2019"
"Senator Rubio, Marco",https://www.congress.gov/member/marco-rubio/R000595,Florida,,Republican,"Senate: 2011-Present"
"Representative Ruiz, Raul",https://www.congress.gov/member/raul-ruiz/R000599,California,36,Democratic,"House: 2013-Present"
"Representative Ruppersberger, C. A. Dutch",https://www.congress.gov/member/c-a-ruppersberger/R000576,Maryland,2,Democratic,"House: 2003-Present"
"Representative Rush, Bobby L.",https://www.congress.gov/member/bobby-rush/R000515,Illinois,1,Democratic,"House: 1993-Present"
"Representative Russell, Steve",https://www.congress.gov/member/steve-russell/R000604,Oklahoma,5,Republican,"House: 2015-2019"
"Representative Ryan, Paul D.",https://www.congress.gov/member/paul-ryan/R000570,Wisconsin,1,Republican,"House: 1999-2019"
"Representative Ryan, Tim",https://www.congress.gov/member/tim-ryan/R000577,Ohio,13,Democratic,"House: 2003-Present"
"Representative Sablan, Gregorio Kilili Camacho",https://www.congress.gov/member/gregorio-sablan/S001177,"Northern Mariana Islands",,Democratic,"House: 2009-Present"
"Representative Salmon, Matt",https://www.congress.gov/member/matt-salmon/S000018,Arizona,5,Republican,"House: 1995-2001, 2013-2017"
"Representative Sanchez, Linda T.",https://www.congress.gov/member/linda-sanchez/S001156,California,38,Democratic,"House: 2003-Present"
"Representative Sanchez, Loretta",https://www.congress.gov/member/loretta-sanchez/S000030,California,46,Democratic,"House: 1997-2017"
"Senator Sanders, Bernard",https://www.congress.gov/member/bernard-sanders/S000033,Vermont,,Independent,"Senate: 2007-Present | House: 1991-2007"
"Representative Sanford, Mark",https://www.congress.gov/member/mark-sanford/S000051,"South Carolina",1,Republican,"House: 1995-2001, 2013-2019"
"Representative Sarbanes, John P.",https://www.congress.gov/member/john-sarbanes/S001168,Maryland,3,Democratic,"House: 2007-Present"
"Senator Sasse, Ben ",https://www.congress.gov/member/ben-sasse/S001197,Nebraska,,Republican,"Senate: 2015-Present"
"Representative Scalise, Steve",https://www.congress.gov/member/steve-scalise/S001176,Louisiana,1,Republican,"House: 2008-Present"
"Representative Schakowsky, Janice D.",https://www.congress.gov/member/janice-schakowsky/S001145,Illinois,9,Democratic,"House: 1999-Present"
"Senator Schatz, Brian",https://www.congress.gov/member/brian-schatz/S001194,Hawaii,,Democratic,"Senate: 2012-Present"
"Representative Schiff, Adam B.",https://www.congress.gov/member/adam-schiff/S001150,California,28,Democratic,"House: 2001-Present"
"Representative Schock, Aaron",https://www.congress.gov/member/aaron-schock/S001179,Illinois,18,Republican,"House: 2009-2015"
"Representative Schrader, Kurt",https://www.congress.gov/member/kurt-schrader/S001180,Oregon,5,Democratic,"House: 2009-Present"
"Senator Schumer, Charles E.",https://www.congress.gov/member/charles-schumer/S000148,"New York",,Democratic,"Senate: 1999-Present | House: 1981-1999"
"Representative Schweikert, David",https://www.congress.gov/member/david-schweikert/S001183,Arizona,6,Republican,"House: 2011-Present"
"Representative Scott, Austin",https://www.congress.gov/member/austin-scott/S001189,Georgia,8,Republican,"House: 2011-Present"
